external_gene_name,logFC_rna,padj_rna,CpG_Beta_diff,logFC_meth,padj_meth,ensembl_gene_id,entrezgene_id,hgnc_symbol,logFC_protein,padj_protein,RG1_All_filtered,RG2_Changes_filtered,RG3_Translation_filtered,RG4_Detection_filtered,Methylation,RNA,Protein,RG1_All,RG2_Changes,RG3_Translation
LDHD,-2.87782515690789,6.34747162917225e-98,,,,ENSG00000166816,197257.0,LDHD,-1.17328425275356,2.9270636936881297e-50,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Methylation No change,RNA DOWN,Protein DOWN,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS
PDGFD,2.25948291632971,8.10271514290018e-98,-0.1372491391492305,-1.29877421327069,1.32235991314391e-29,ENSG00000170962,80310.0,PDGFD,0.827488161332855,1.23795289903634e-57,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
INSIG2,1.33031115700742,9.47317788738248e-98,-0.1554658526731869,-1.30898486916432,2.747693952160809e-40,ENSG00000125629,51141.0,INSIG2,0.115277974130881,0.0030712066332092,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE,MDE,Hypomethylation,RNA UP,Protein significant-positive,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE
DTX3L,1.24578318892586,1.4595303330206202e-97,0.1059787702833796,3.2426136204843,7.428203249738957e-178,ENSG00000163840,151636.0,DTX3L,0.720940620960865,9.33134298232784e-48,Hypermethylation + RNA UP + Protein UP,TPDE,TPDE,TPDE,Hypermethylation,RNA UP,Protein UP,Hypermethylation + RNA UP + Protein UP,TPDE,TPDE
GGT6,-6.43665190369281,1.73054219056058e-97,0.4135714308020778,2.76484731289799,2.67865713470109e-118,ENSG00000167741,124975.0,GGT6,-0.278781142194273,3.93122944934558e-08,Hypermethylation + RNA DOWN + Protein significant-negative,MDS_TMDE,MDS,MDS,Hypermethylation,RNA DOWN,Protein significant-negative,Hypermethylation + RNA DOWN + Protein significant-negative,MDS_TMDE,MDS
NLRC5,1.8844258670545,1.78962789031474e-97,-0.35903052894575,-3.01127562711911,2.42065035839211e-106,ENSG00000140853,84166.0,NLRC5,0.0470076015821652,0.361209084363591,Hypomethylation + RNA UP + Protein not-significant,MDE_TMDS,None,MDE_TMDS,Hypomethylation,RNA UP,Protein not-significant,Hypomethylation + RNA UP + Protein not-significant,MDE_TMDS,None
MAP4K4,1.10817472240237,1.84503080042794e-97,-0.1631367258737737,-1.12813576390578,9.73985511923756e-27,ENSG00000071054,9448.0,MAP4K4,0.407743267572432,8.48225549976848e-48,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE,MDE,Hypomethylation,RNA UP,Protein significant-positive,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE
BTN3A3,1.71374402151503,1.91121728882461e-97,-0.2378950058207997,-1.5312544265552,5.53849042278104e-50,ENSG00000111801,10384.0,BTN3A3,0.708049135411777,9.00811594739452e-47,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
CAMK1D,1.48293455227016,2.1070713037946904e-97,-0.3501522926465423,-2.20540344364024,6.36937843040841e-74,ENSG00000183049,57118.0,CAMK1D,0.673634133325429,7.6148420459132e-51,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
CASZ1,-2.13402466237406,3.23051836463027e-97,0.5799005438391525,4.44634482349462,2.36119310154209e-136,ENSG00000130940,54897.0,CASZ1,0.022541203683242,0.750103436507503,Hypermethylation + RNA DOWN + Protein not-significant,MDS_TMDE,None,MDS_TMDE,Hypermethylation,RNA DOWN,Protein not-significant,Hypermethylation + RNA DOWN + Protein not-significant,MDS_TMDE,None
TNFAIP8L2,1.65502750985697,5.054121913708512e-97,-0.579427636014733,-3.16292041448444,1.90053815222293e-102,ENSG00000163154,79626.0,TNFAIP8L2,0.712817346278316,3.0306810958844e-33,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
GLYCTK,-1.74211983187768,5.40713170723407e-97,0.158762201544432,0.988726935570799,3.9331926408174004e-20,ENSG00000168237,132158.0,GLYCTK,-1.25181013325646,7.20266128732554e-53,Hypermethylation + RNA DOWN + Protein DOWN,MDS,MDS,MDS,Hypermethylation,RNA DOWN,Protein DOWN,Hypermethylation + RNA DOWN + Protein DOWN,MDS,MDS
LRRC25,2.42235081160628,5.42504305737909e-97,-0.2372940465454379,-1.52171999975226,1.69416630473239e-41,ENSG00000175489,126364.0,LRRC25,1.21986533498307,5.326704106460969e-57,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
ADGRL4,1.890585064868,5.994648900522332e-97,0.3755248787614615,2.87539483479465,6.26340778193292e-61,ENSG00000162618,64123.0,ADGRL4,0.39070688614078,3.38932068289839e-14,Hypermethylation + RNA UP + Protein significant-positive,TPDE_TMDS,TPDE,TPDE,Hypermethylation,RNA UP,Protein significant-positive,Hypermethylation + RNA UP + Protein significant-positive,TPDE_TMDS,TPDE
FYB1,2.14946143980133,7.382542145775412e-97,-0.21306177896438,-1.85420113179098,4.19220573284274e-67,ENSG00000082074,2533.0,FYB1,1.23818906685603,4.31556998647474e-53,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
CPEB3,-1.32501631298287,8.885283394281762e-97,0.100954592619787,1.04940319479139,1.46640257088432e-23,ENSG00000107864,22849.0,CPEB3,-0.543707771101902,1.28663992073358e-31,Hypermethylation + RNA DOWN + Protein DOWN,MDS,MDS,MDS,Hypermethylation,RNA DOWN,Protein DOWN,Hypermethylation + RNA DOWN + Protein DOWN,MDS,MDS
RNASE6,1.79855686133881,9.78488078506656e-97,-0.1015191049312808,-0.632087257400216,6.79234960428501e-13,ENSG00000169413,6039.0,RNASE6,-1.4811402493108,2.58828927809811e-50,Hypomethylation + RNA UP + Protein DOWN,MDE_TMDS,TMDS,MDE_TMDS,Hypomethylation,RNA UP,Protein DOWN,Hypomethylation + RNA UP + Protein DOWN,MDE_TMDS,TMDS
DSN1,1.15638264225004,1.07411053710485e-96,-0.0306335088670757,-0.7232441257281,3.1032814168651496e-49,ENSG00000149636,79980.0,DSN1,0.508546567724664,1.89550957693578e-59,Methylation No change + RNA UP + Protein UP,TPDE,TPDE,TPDE,Methylation No change,RNA UP,Protein UP,Methylation No change + RNA UP + Protein UP,TPDE,TPDE
TPM3,0.794313188590227,1.20852073486892e-96,-0.1609388158261455,-1.22918953954015,7.439671582140341e-46,ENSG00000143549,7170.0,TPM3,0.115613104398895,1.4462392523021998e-12,Hypomethylation + RNA No change + Protein significant-positive,None,None,None,Hypomethylation,RNA No change,Protein significant-positive,Hypomethylation + RNA No change + Protein significant-positive,None,None
CST7,2.94556474820923,1.26770904063779e-96,-0.3637964988968532,-2.61760042432765,2.872297890347389e-55,ENSG00000077984,8530.0,CST7,0.0144734094617025,0.797236740858697,Hypomethylation + RNA UP + Protein not-significant,MDE_TMDS,None,MDE_TMDS,Hypomethylation,RNA UP,Protein not-significant,Hypomethylation + RNA UP + Protein not-significant,MDE_TMDS,None
CORO1A,2.17251353544419,1.36995734996586e-96,-0.1878502047640737,-1.32859906320555,2.8230317370711798e-36,ENSG00000102879,11151.0,CORO1A,1.06242056669933,8.24479061851853e-43,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
CAPS,-1.0926535965146,1.8466638786714e-96,,,,ENSG00000105519,828.0,CAPS,-1.42505784689308,9.8021918387274e-56,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Methylation No change,RNA DOWN,Protein DOWN,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS
RGCC,2.15416765243255,2.67052344479523e-96,,,,ENSG00000102760,28984.0,RGCC,0.410964827999522,6.13833059068544e-16,Methylation No change + RNA UP + Protein significant-positive,TPDE_TMDS,TPDE,TPDE,Methylation No change,RNA UP,Protein significant-positive,Methylation No change + RNA UP + Protein significant-positive,TPDE_TMDS,TPDE
GBP5,3.41872504361034,2.74104856334968e-96,-0.0931507813216955,-1.56471934919409,6.55867005596844e-75,ENSG00000154451,115362.0,GBP5,1.35693678227742,1.90798048807253e-47,Methylation No change + RNA UP + Protein UP,TPDE,TPDE,TPDE,Methylation No change,RNA UP,Protein UP,Methylation No change + RNA UP + Protein UP,TPDE,TPDE
SP3,0.664008430668537,3.1376222434386097e-96,-0.1253503523494611,-1.16876614428049,7.48434732925997e-45,ENSG00000172845,6670.0,SP3,0.116644919093851,6.68528114306117e-05,Hypomethylation + RNA No change + Protein significant-positive,None,None,None,Hypomethylation,RNA No change,Protein significant-positive,Hypomethylation + RNA No change + Protein significant-positive,None,None
APOBEC3D,2.110978,4.022556e-96,-0.2885206459480535,-3.11658758985389,1.0389035270680701e-65,ENSG00000243811,140564.0,APOBEC3D,0.747338525768691,9.2013847948605e-28,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
CD33,2.01278009234489,5.61757266943163e-96,-0.1784601897198123,-1.11448344915967,9.89078341472249e-40,ENSG00000105383,945.0,CD33,0.176804291919208,0.000486829548367,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE,MDE,Hypomethylation,RNA UP,Protein significant-positive,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE
KIF13B,-1.16506075965515,5.76259158709163e-96,-0.1234517837904539,-0.753864159066902,3.5911029099628397e-13,ENSG00000197892,23303.0,KIF13B,-0.640924898939973,1.04452789701996e-71,Hypomethylation + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Hypomethylation,RNA DOWN,Protein DOWN,Hypomethylation + RNA DOWN + Protein DOWN,TPDS,TPDS
PLIN2,2.69042312564906,5.85444469802633e-96,-0.3017677260066687,-2.82373913795662,2.522748719699429e-70,ENSG00000147872,123.0,PLIN2,2.22605328419035,5.8214794721748e-71,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
RAD54L2,-0.761245338528878,7.25894155108924e-96,-0.1661617085226664,-0.855124729448402,1.9120884346111696e-22,ENSG00000164080,23132.0,RAD54L2,0.0023773079228089,0.926637730555954,Hypomethylation + RNA No change + Protein not-significant,None,None,None,Hypomethylation,RNA No change,Protein not-significant,Hypomethylation + RNA No change + Protein not-significant,None,None
AURKB,3.1064098492285,7.7923522868888e-96,-0.0970916901921547,-1.70326991122692,5.674010497703567e-82,ENSG00000178999,9212.0,AURKB,0.304542421716033,1.93506906890509e-07,Methylation No change + RNA UP + Protein significant-positive,TPDE_TMDS,TPDE,TPDE,Methylation No change,RNA UP,Protein significant-positive,Methylation No change + RNA UP + Protein significant-positive,TPDE_TMDS,TPDE
DGKD,1.48913737208958,8.1035756179324e-96,-0.1871162432467847,-1.13618788690284,2.8249072664251797e-42,ENSG00000077044,8527.0,DGKD,0.067669430466596,0.214306600242253,Hypomethylation + RNA UP + Protein not-significant,MDE_TMDS,None,MDE_TMDS,Hypomethylation,RNA UP,Protein not-significant,Hypomethylation + RNA UP + Protein not-significant,MDE_TMDS,None
EPCAM,-2.619311104838,2.10108752902578e-95,0.1492474577132481,1.01653616674065,5.27911211434356e-17,ENSG00000119888,4072.0,EPCAM,-1.31332975669368,8.096587707566741e-59,Hypermethylation + RNA DOWN + Protein DOWN,MDS,MDS,MDS,Hypermethylation,RNA DOWN,Protein DOWN,Hypermethylation + RNA DOWN + Protein DOWN,MDS,MDS
ALOX5,2.76547029651226,2.33327673596738e-95,,,,ENSG00000012779,240.0,ALOX5,1.37110115023003,3.56335734810359e-60,Methylation No change + RNA UP + Protein UP,TPDE,TPDE,TPDE,Methylation No change,RNA UP,Protein UP,Methylation No change + RNA UP + Protein UP,TPDE,TPDE
SLC38A1,1.72986429298942,2.38525239156705e-95,-0.3627610807034755,-2.36908609979282,2.15228096800186e-84,ENSG00000111371,81539.0,SLC38A1,0.437725104878342,9.58714352093978e-21,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE,MDE,Hypomethylation,RNA UP,Protein significant-positive,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE
PYCARD,2.06848570476661,2.61067931434158e-95,-0.2531152016226858,-1.55379466817759,1.63504184102368e-57,ENSG00000103490,29108.0,PYCARD,1.16804225458468,4.5495654225219795e-55,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
LLGL2,-1.45673430753274,2.81140839805535e-95,,,,ENSG00000073350,3993.0,LLGL2,-0.997213726436491,2.44959442384601e-79,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Methylation No change,RNA DOWN,Protein DOWN,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS
DACH1,-2.615148,2.862942e-95,0.0239100207781526,0.450815335891987,3.95742559007123e-14,ENSG00000276644,1602.0,DACH1,-0.972962016556859,5.73566292268899e-58,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Methylation No change,RNA DOWN,Protein DOWN,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS
ATP2B4,1.12670915031325,3.2674754115108104e-95,-0.366211937928703,-2.39651287826537,1.70754153656613e-70,ENSG00000058668,493.0,ATP2B4,0.452879373247945,2.5489868998775495e-48,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE,MDE,Hypomethylation,RNA UP,Protein significant-positive,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE
VRK2,0.703444777619869,4.4526838647349e-95,-0.1282642514595152,-1.73970409360287,9.30122396697581e-84,ENSG00000028116,7444.0,VRK2,0.125343116384992,1.4064689332401e-05,Hypomethylation + RNA No change + Protein significant-positive,None,None,None,Hypomethylation,RNA No change,Protein significant-positive,Hypomethylation + RNA No change + Protein significant-positive,None,None
AOAH,1.65705323652431,4.56778032233913e-95,-0.2007030935814446,-1.71139511355014,2.4645118301514e-55,ENSG00000136250,313.0,AOAH,0.817862640470172,2.65366872407227e-47,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
SLC2A11,-1.54182782425167,5.87016253893905e-95,0.0912116694230936,0.60786020501774,4.2159859217841005e-16,ENSG00000133460,66035.0,SLC2A11,-0.69145031283711,1.5755485126580198e-26,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Methylation No change,RNA DOWN,Protein DOWN,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS
ZGPAT,-1.35101687556576,7.54086119794237e-95,,,,ENSG00000197114,84619.0,ZGPAT,-0.0161978149346749,0.419715832404008,Methylation No change + RNA DOWN + Protein not-significant,TPDS_TMDE,None,TPDS_TMDE,Methylation No change,RNA DOWN,Protein not-significant,Methylation No change + RNA DOWN + Protein not-significant,TPDS_TMDE,None
CASR,-5.68649929346922,8.04879786609801e-95,,,,ENSG00000036828,846.0,CASR,-1.48523526306024,6.49960034357236e-67,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Methylation No change,RNA DOWN,Protein DOWN,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS
BPHL,-1.83013046799177,1.53873826068581e-94,-0.0518546928720097,-1.25042864034097,1.2455606802164401e-54,ENSG00000137274,670.0,BPHL,-1.36111430538635,2.81691690170601e-57,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Methylation No change,RNA DOWN,Protein DOWN,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS
TCERG1,0.743570343825388,1.8707304710549399e-94,-0.0790323700051162,-0.917267281812854,1.63272697636048e-29,ENSG00000113649,10915.0,TCERG1,0.171235764113629,1.77398826337367e-26,Methylation No change + RNA No change + Protein significant-positive,None,None,None,Methylation No change,RNA No change,Protein significant-positive,Methylation No change + RNA No change + Protein significant-positive,None,None
CD180,2.4949544735074,1.87621360378e-94,-0.1374309735857991,-1.71485567757461,2.00700373529264e-75,ENSG00000134061,4064.0,CD180,0.891296473533,6.15321965938349e-52,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
TSEN2,-0.782061336089646,2.0365599758165598e-94,,,,ENSG00000154743,80746.0,TSEN2,0.0396702672899448,0.241762329888738,Methylation No change + RNA No change + Protein not-significant,None,None,None,Methylation No change,RNA No change,Protein not-significant,Methylation No change + RNA No change + Protein not-significant,None,None
CA8,-3.02305486986254,2.47979017850768e-94,-0.1474372270455343,-1.17908295550044,3.0308839334982e-19,ENSG00000178538,767.0,CA8,-0.618754262661265,6.56379771412693e-13,Hypomethylation + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Hypomethylation,RNA DOWN,Protein DOWN,Hypomethylation + RNA DOWN + Protein DOWN,TPDS,TPDS
SLC25A35,-1.47411475218504,2.5886245275853897e-94,0.0707165048135928,0.818050904135995,3.36530502444596e-38,ENSG00000125434,399512.0,SLC25A35,-0.820473330936114,5.80055072668493e-41,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Methylation No change,RNA DOWN,Protein DOWN,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS
TAGAP,2.02574475398116,3.41952329242256e-94,-0.3105216978322457,-2.25079543111722,3.7212396109222e-51,ENSG00000164691,117289.0,TAGAP,0.269587052618963,5.25605332504155e-09,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE,MDE,Hypomethylation,RNA UP,Protein significant-positive,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE
ESRP2,-1.59733918685756,3.96764834932893e-94,0.2554794048777308,2.19324662938439,3.06509403905008e-39,ENSG00000103067,80004.0,ESRP2,-0.504026551057341,2.90049447580209e-44,Hypermethylation + RNA DOWN + Protein DOWN,MDS,MDS,MDS,Hypermethylation,RNA DOWN,Protein DOWN,Hypermethylation + RNA DOWN + Protein DOWN,MDS,MDS
GINS2,2.12387584655042,4.50793109150826e-94,0.1851343337220324,1.11781580314424,2.4992986363882203e-44,ENSG00000131153,51659.0,GINS2,0.57839648660836,7.57677134841644e-17,Hypermethylation + RNA UP + Protein UP,TPDE,TPDE,TPDE,Hypermethylation,RNA UP,Protein UP,Hypermethylation + RNA UP + Protein UP,TPDE,TPDE
IFNGR1,1.30103440628496,8.91691288933746e-94,-0.2168641682388135,-1.44373553702992,9.059385210773027e-40,ENSG00000027697,3459.0,IFNGR1,0.489289119344474,4.39135272379971e-45,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE,MDE,Hypomethylation,RNA UP,Protein significant-positive,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE
RPL35,1.22268091690499,9.16121651102974e-94,-0.0325838097838125,-0.254554195161455,1.2382353813533801e-09,ENSG00000136942,11224.0,RPL35,1.00102335610692,3.85573796047508e-36,Methylation No change + RNA UP + Protein UP,TPDE,TPDE,TPDE,Methylation No change,RNA UP,Protein UP,Methylation No change + RNA UP + Protein UP,TPDE,TPDE
DDN,-5.63951062085304,9.271782963333508e-94,-0.0117268940720077,-0.301213125887178,1.3882859792817899e-13,ENSG00000181418,23109.0,DDN,-1.56750792616342,7.718415360102588e-56,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Methylation No change,RNA DOWN,Protein DOWN,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS
MCCD1,-5.27498014947128,9.271782963333508e-94,,,,ENSG00000204511,401250.0,MCCD1,-1.73111342063638,6.47656574686295e-50,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Methylation No change,RNA DOWN,Protein DOWN,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS
MPG,1.02240565758458,9.85978389614332e-94,-0.1498936401208382,-2.03893530144045,3.05136192835871e-54,ENSG00000103152,4350.0,MPG,0.263390761403362,6.44809103509241e-29,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE,MDE,Hypomethylation,RNA UP,Protein significant-positive,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE
HACL1,-0.860165711774436,1.47317234288365e-93,-0.0241194264221161,-0.561477511830284,4.81077996743067e-19,ENSG00000131373,26061.0,HACL1,-1.06432067819755,5.71753349063362e-55,Methylation No change + RNA No change + Protein DOWN,TMDS,TMDS,TMDS,Methylation No change,RNA No change,Protein DOWN,Methylation No change + RNA No change + Protein DOWN,TMDS,TMDS
CNNM2,-1.26394170050895,1.8177920727809101e-93,0.1577586925923045,1.97055048957818,1.78028940822155e-66,ENSG00000148842,54805.0,CNNM2,-0.564627890759582,1.89764187023548e-28,Hypermethylation + RNA DOWN + Protein DOWN,MDS,MDS,MDS,Hypermethylation,RNA DOWN,Protein DOWN,Hypermethylation + RNA DOWN + Protein DOWN,MDS,MDS
TGFBI,4.53842379513311,1.91160929756458e-93,-0.219443789788502,-1.39907812356044,1.45266852974497e-60,ENSG00000120708,7045.0,TGFBI,0.703283859522952,8.93826294641128e-20,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
STX4,0.885733739880049,2.0266303662022e-93,0.2205647745259232,1.68609301698956,1.35366520630988e-63,ENSG00000103496,6810.0,STX4,0.0781389620040728,0.0016823335811368,Hypermethylation + RNA No change + Protein significant-positive,None,None,None,Hypermethylation,RNA No change,Protein significant-positive,Hypermethylation + RNA No change + Protein significant-positive,None,None
FAM3B,-4.19150274939713,3.45451816144766e-93,-0.1489280386706422,-1.27856825817308,2.34054380286665e-43,ENSG00000183844,54097.0,FAM3B,-0.459831744319289,1.1083862798754799e-27,Hypomethylation + RNA DOWN + Protein significant-negative,TPDS_TMDE,TPDS,TPDS,Hypomethylation,RNA DOWN,Protein significant-negative,Hypomethylation + RNA DOWN + Protein significant-negative,TPDS_TMDE,TPDS
DDX60,1.12718207194239,3.67656093039881e-93,-0.0673408742488688,-1.03285359745247,2.1284460675536401e-47,ENSG00000137628,55601.0,DDX60,0.565147917222451,7.53655822634203e-48,Methylation No change + RNA UP + Protein UP,TPDE,TPDE,TPDE,Methylation No change,RNA UP,Protein UP,Methylation No change + RNA UP + Protein UP,TPDE,TPDE
GPATCH11,0.755393853307436,4.45100521889367e-93,-0.1169709529013253,-0.716692490815393,1.37951238938766e-17,ENSG00000152133,253635.0,GPATCH11,0.349993066878387,1.1069868161138e-32,Hypomethylation + RNA No change + Protein significant-positive,None,None,None,Hypomethylation,RNA No change,Protein significant-positive,Hypomethylation + RNA No change + Protein significant-positive,None,None
FAM89B,1.01035434726478,5.84770726494182e-93,,,,ENSG00000176973,23625.0,FAM89B,0.593480810736135,1.05521209583837e-32,Methylation No change + RNA UP + Protein UP,TPDE,TPDE,TPDE,Methylation No change,RNA UP,Protein UP,Methylation No change + RNA UP + Protein UP,TPDE,TPDE
MIGA2,-0.803319478564644,6.56319451872192e-93,,,,ENSG00000148343,84895.0,MIGA2,-0.311961589997444,2.75005516656916e-17,Methylation No change + RNA No change + Protein significant-negative,None,None,None,Methylation No change,RNA No change,Protein significant-negative,Methylation No change + RNA No change + Protein significant-negative,None,None
DEPP1,2.41843166400987,6.63346061787552e-93,0.0591925409574117,1.09062659073047,3.136837242287989e-34,ENSG00000165507,11067.0,DEPP1,0.0592418122734013,0.234453830516585,Methylation No change + RNA UP + Protein not-significant,TPDE_TMDS,None,TPDE_TMDS,Methylation No change,RNA UP,Protein not-significant,Methylation No change + RNA UP + Protein not-significant,TPDE_TMDS,None
TACC3,1.44457888812029,6.93749740183509e-93,-0.1039611158653504,-0.74910252384911,3.94323859537785e-29,ENSG00000013810,10460.0,TACC3,0.633124913100808,8.597069491315419e-34,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
ARHGEF6,1.20731392962227,7.003481600828799e-93,-0.1884955393014926,-1.53297063324191,3.42846494714006e-23,ENSG00000129675,9459.0,ARHGEF6,0.424200266211654,9.37541342510642e-30,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE,MDE,Hypomethylation,RNA UP,Protein significant-positive,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE
AHR,1.36575666670653,7.30681825856164e-93,-0.1462305965290953,-3.82129779652237,9.45927874445483e-168,ENSG00000106546,196.0,AHR,0.720433042057947,4.92077113216691e-50,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
PPP1R3G,2.05965605465759,7.49038093389377e-93,-0.1030188569055904,-1.00067195651441,1.61316691600218e-26,ENSG00000219607,648791.0,PPP1R3G,0.934498197291145,5.61197214600487e-43,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
MUC15,-4.6082322058742,8.11003181714858e-93,0.1929069999385586,1.55232264727973,9.912362767521189e-30,ENSG00000169550,143662.0,MUC15,-1.14267712693276,3.60755042686519e-50,Hypermethylation + RNA DOWN + Protein DOWN,MDS,MDS,MDS,Hypermethylation,RNA DOWN,Protein DOWN,Hypermethylation + RNA DOWN + Protein DOWN,MDS,MDS
EMX1,-2.35562919954721,9.13285204668873e-93,0.2527737508057724,1.80099432877158,5.72195144587248e-45,ENSG00000135638,2016.0,EMX1,-0.420256713737477,2.12990106922624e-20,Hypermethylation + RNA DOWN + Protein significant-negative,MDS_TMDE,MDS,MDS,Hypermethylation,RNA DOWN,Protein significant-negative,Hypermethylation + RNA DOWN + Protein significant-negative,MDS_TMDE,MDS
TRIM59,1.62856667077125,9.35754513293283e-93,-0.0453127810491798,-0.684169199427004,4.7903342335622405e-17,ENSG00000213186,286827.0,TRIM59,0.172310355987056,0.0001117900539663,Methylation No change + RNA UP + Protein significant-positive,TPDE_TMDS,TPDE,TPDE,Methylation No change,RNA UP,Protein significant-positive,Methylation No change + RNA UP + Protein significant-positive,TPDE_TMDS,TPDE
SLC25A10,-2.42988073590914,9.48033907341558e-93,0.0927509014797457,0.865572896991822,2.39444838630957e-08,ENSG00000183048,1468.0,SLC25A10,-1.22509960326022,3.65005250464071e-47,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Methylation No change,RNA DOWN,Protein DOWN,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS
TMEM30B,-3.12432704142181,1.10175630404926e-92,0.1909039351314377,1.32131174352028,6.8929289625083e-36,ENSG00000182107,161291.0,TMEM30B,-0.0187175800071925,0.729466582017296,Hypermethylation + RNA DOWN + Protein not-significant,MDS_TMDE,None,MDS_TMDE,Hypermethylation,RNA DOWN,Protein not-significant,Hypermethylation + RNA DOWN + Protein not-significant,MDS_TMDE,None
